gender,NationalITy,Level,SectionID,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,NONKW,MiddleSchool,A,S,Father,No,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Mum,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,S,Mum,No,Bad,Above-7,L
M,NONKW,MiddleSchool,B,F,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,B,S,Father,No,Bad,Under-7,M
F,NONKW,MiddleSchool,B,F,Mum,No,Good,Under-7,H
F,NONKW,MiddleSchool,B,S,Mum,No,Good,Under-7,H
M,NONKW,MiddleSchool,B,F,Father,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,B,S,Father,Yes,Good,Under-7,M
F,NONKW,MiddleSchool,B,F,Mum,No,Good,Above-7,L
F,NONKW,MiddleSchool,B,S,Mum,No,Good,Above-7,L
M,NONKW,MiddleSchool,B,F,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,B,S,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,B,F,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,B,S,Father,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,F,Father,No,Bad,Under-7,H
M,NONKW,MiddleSchool,A,S,Father,No,Bad,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,A,S,Father,No,Bad,Under-7,M
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Above-7,L
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Above-7,L
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Father,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,A,S,Father,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
F,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,M
F,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,H
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Above-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Above-7,M
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,S,Mum,Yes,Good,Under-7,H
F,NONKW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
F,NONKW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,F,Father,Yes,Good,Under-7,M
M,NONKW,MiddleSchool,A,S,Father,Yes,Good,Under-7,M
F,NONKW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
F,NONKW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
F,NONKW,MiddleSchool,A,F,Father,No,Bad,Under-7,M
F,NONKW,MiddleSchool,A,S,Father,No,Bad,Under-7,M
F,NONKW,MiddleSchool,A,F,Father,No,Bad,Above-7,L
F,NONKW,MiddleSchool,A,S,Father,No,Bad,Above-7,L
